50 192
3 3 5
14
30
42
15
26
47
0
1
2
3
9
0 2 0.5548252403642552
0 3 0.7171193353992135
0 4 0.7664960972490786
0 9 0.6445767067238967
0 10 0.9607151634306634
0 11 0.9713325295463314
0 15 0.40884663875138005
0 16 0.06528331396128895
0 20 0.461270530935155
0 25 0.4143401148846153
0 30 0.27422079418787215
0 31 0.8752753270050894
0 38 0.929779650642151
0 39 0.24617611893056623
0 46 0.896102766905603
1 2 0.06636561239942562
1 3 0.7567522792588917
1 4 0.09801937581397124
1 7 0.9016978262692541
1 8 0.20825428359264164
1 15 0.365874447895538
1 22 0.004912170881328781
1 24 0.7008531045469478
1 37 0.9659225000636488
1 44 0.6726766976341066
2 0 0.4997530066630804
2 1 0.30104423953560977
2 6 0.8338051962651166
2 18 0.6446297251857297
2 21 0.04837641686090177
2 27 0.5565355516502416
2 34 0.30351099125071224
2 38 0.6591227835387936
2 43 0.5146805876182903
3 0 0.11443730956386489
3 1 0.5065012721311128
3 5 0.7219025336919129
3 6 0.19449540437162494
3 7 0.3211523004773025
3 9 0.21859450479780596
3 12 0.7432964847506751
3 13 0.9605298777725434
3 19 0.3945772470311918
3 22 0.061429066160902934
3 26 0.9827136556050924
3 29 0.5393421190895209
3 45 0.18612609455585016
3 47 0.335579042673254
3 49 0.8072143871008612
4 0 0.47705460446330195
4 1 0.3306878451897102
4 5 0.07963021444897933
4 8 0.024081737423890748
4 23 0.9655787917477937
4 39 0.10005174052575627
5 3 0.8963307509355508
5 4 0.7527223696435655
5 14 0.8662892425618666
5 16 0.13679783767724796
5 20 0.9144739329265633
5 28 0.8190033565704548
5 29 0.777755030863157
5 30 0.8719907740461191
6 2 0.6123191441588084
6 3 0.3771267654843703
6 11 0.024485925202707093
7 1 0.79867303131147
7 3 0.2707236835771689
7 13 0.7841471452843461
7 32 0.4606829611788845
7 48 0.8575883942925904
8 1 0.6196656828680237
8 4 0.4764213390875617
8 17 0.6181040122754946
8 34 0.8236788173223305
8 48 0.020376516017769575
9 0 0.9850915959242437
9 3 0.48062474433990565
9 10 0.7198404035737841
9 12 0.6736942963489635
9 17 0.4343661075135842
9 24 0.2284857770908274
9 25 0.19101194506301777
9 36 0.6280943727289489
9 40 0.4656760383334041
10 0 0.9085610690911069
10 9 0.14338366456416907
10 14 0.3787553319167416
10 18 0.45182433920323184
10 23 0.18198513805546312
10 40 0.14833144084933803
10 42 0.5421132840430815
10 45 0.4920585239633317
11 0 0.518675161186146
11 6 0.8605635263344407
11 28 0.4829220874051672
12 9 0.6199686135028416
12 3 0.3446118223361073
13 3 0.3255104620493593
13 7 0.31181235710035915
13 31 0.04495317032238633
13 49 0.5614380432979514
14 10 0.5454293927267154
14 5 0.7555277704759338
15 0 0.13343333126285262
15 1 0.7471327449790056
15 19 0.9444219969580778
15 46 0.7815806445620648
16 0 0.3472705953040359
16 5 0.26460619635580085
16 26 0.48493229434551444
16 43 0.6027043837839976
17 8 0.43905237448430745
17 9 0.49508344881990207
17 41 0.969658248176737
18 10 0.07478919537392303
18 2 0.02115031005450352
19 3 0.09990508916526997
19 15 0.49968299977137076
19 21 0.4453954286874562
20 0 0.6034849920995018
20 5 0.7974933697636484
20 35 0.4245580086097793
20 47 0.35363136177516474
21 2 0.6991394838370933
21 19 0.06355779291589991
22 1 0.6241042297393878
22 3 0.18516374135031743
22 35 0.11088700926266426
23 10 0.8056245141107915
23 4 0.46083951711557414
24 1 0.1873217911483679
24 9 0.8848134761402219
25 0 0.1923113260873529
25 9 0.7788705586361455
25 27 0.21168196569505637
25 36 0.9990277996246588
25 37 0.36761484587319937
26 16 0.07891867948751452
26 3 0.17440694349988617
27 25 0.30311822823718515
27 2 0.7891659163699948
27 44 0.7723517752556484
28 11 0.6823398525077388
28 5 0.46174622146769595
29 3 0.8476766179612825
29 5 0.9081438142408266
30 0 0.1774211517227018
30 5 0.8019766406253205
31 0 0.9212010748706522
31 13 0.01783920794505145
31 32 0.03513985779999229
31 33 0.44769376477202427
31 42 0.7620865979611757
32 31 0.2853603120140322
32 7 0.16724456649815056
32 33 0.8710908011653967
33 32 0.5254200323353905
33 31 0.6677114444500832
34 8 0.8006511742405409
34 2 0.08836203403835252
35 20 0.2552746862132095
35 22 0.8122219902599281
36 25 0.056308577669769266
36 9 0.4869471302156426
37 1 0.31842772606930236
37 25 0.954983665008454
37 41 0.5838660275245159
38 2 0.23235253397777056
38 0 0.4481063398971157
39 0 0.6922473195976228
39 4 0.6549110851655345
40 9 0.8533769229537269
40 10 0.07661178804926694
41 17 0.7879462474593215
41 37 0.5734301599520056
42 10 0.11497202156078612
42 31 0.015286620281674157
43 16 0.9515438179678001
43 2 0.9517459496245795
44 1 0.41387485392802104
44 27 0.11069904155942478
45 10 0.05311049132056256
45 3 0.7079385339606425
46 0 0.5471068283525723
46 15 0.7226385768208933
47 3 0.48896239071091085
47 20 0.11889910703770934
48 8 0.340187174863826
48 7 0.12595975743947174
49 3 0.04257437809499365
49 13 0.6728044338319702
