200 792
3 3 5
21
31
193
87
130
189
0
1
3
4
13
0 2 0.5849893912175534
0 3 0.7543535139630652
0 4 0.5756745887262538
0 5 0.9249294625899359
0 10 0.18971260999267947
0 11 0.4455793024683775
0 13 0.061692059536359034
0 22 0.8359956476973456
0 52 0.36714712444839215
0 62 0.1830438458017578
0 73 0.12478256351491979
0 76 0.958192760017807
0 90 0.5130683636285599
0 91 0.15008905088232027
0 117 0.03512255967021205
0 137 0.16536144608731151
0 144 0.8494610984300822
0 149 0.780241351310577
0 196 0.3028354484058443
0 197 0.9509013463545789
1 2 0.22958812299559694
1 3 0.6178015063383112
1 5 0.8617731540129456
1 6 0.0965362466741243
1 7 0.42560077047879985
1 11 0.8483781548760156
1 12 0.11644287277084342
1 14 0.6049048102166626
1 17 0.20789436216391832
1 21 0.7885658976561466
1 27 0.6890731395237443
1 29 0.930193698580836
1 61 0.2528748333739038
1 75 0.5096850457740231
1 101 0.01026865233731089
1 104 0.7805563859046393
1 134 0.8506645395343729
1 150 0.3444450966341186
1 161 0.5241020600118901
1 164 0.8264468110644352
1 170 0.17771959994317854
1 176 0.1733147993746631
1 178 0.9612818739453375
2 0 0.5280464203289286
2 1 0.4965225921898413
2 69 0.9532063170330345
2 84 0.8998101813501372
2 98 0.6584859912871511
2 105 0.925685618443469
2 162 0.15705203390110956
3 0 0.3504121042749787
3 1 0.5010448673200929
3 4 0.3522353479269852
3 6 0.05810252151057749
3 19 0.36156119196678194
3 38 0.7265511828904887
3 41 0.07687694899360009
3 53 0.8343731284774843
3 54 0.5313557718533608
3 57 0.2083078230600819
3 58 0.3761823403572627
3 64 0.07221471361135534
3 89 0.45798365535360075
3 93 0.03908070802078201
3 120 0.010966639730033756
3 155 0.6646173494459228
3 179 0.17235580810371376
3 186 0.39956082364107925
3 189 0.6248354380782233
3 196 0.1489754333821094
4 0 0.20061347578583488
4 3 0.19585429407716148
4 8 0.7099429956990235
4 10 0.8205324422424781
4 13 0.1994526441445552
4 15 0.05096010130059092
4 28 0.866419017193908
